data,indicador,ano_ref,mediana
2022-09-19,Câmbio,2026,5.2
2022-09-19,IPCA,2026,3.0
2022-09-19,PIB Total,2026,2.0
2022-09-19,Selic,2026,7.5
2022-09-26,Câmbio,2026,5.2
2022-09-26,IPCA,2026,3.0
2022-09-26,PIB Total,2026,2.0
2022-09-26,Selic,2026,7.5
2022-10-03,Câmbio,2026,5.2
2022-10-03,IPCA,2026,3.0
2022-10-03,PIB Total,2026,2.0
2022-10-03,Selic,2026,7.5
2022-10-10,Câmbio,2026,5.2
2022-10-10,IPCA,2026,3.0
2022-10-10,PIB Total,2026,2.0
2022-10-10,Selic,2026,7.5
2022-10-17,Câmbio,2026,5.2
2022-10-17,IPCA,2026,3.0
2022-10-17,PIB Total,2026,2.0
2022-10-17,Selic,2026,7.5
2022-10-24,Câmbio,2026,5.2
2022-10-24,IPCA,2026,3.0
2022-10-24,PIB Total,2026,2.0
2022-10-24,Selic,2026,7.625
2022-10-31,Câmbio,2026,5.2
2022-10-31,IPCA,2026,3.0
2022-10-31,PIB Total,2026,2.0
2022-10-31,Selic,2026,7.75
2022-11-07,Câmbio,2026,5.2
2022-11-07,IPCA,2026,3.0
2022-11-07,PIB Total,2026,2.0
2022-11-07,Selic,2026,7.75
2022-11-14,Câmbio,2026,5.2163
2022-11-14,IPCA,2026,3.0
2022-11-14,PIB Total,2026,2.0
2022-11-14,Selic,2026,8.0
2022-11-21,Câmbio,2026,5.3
2022-11-21,IPCA,2026,3.0
2022-11-21,PIB Total,2026,2.0
2022-11-21,Selic,2026,8.0
2022-11-28,Câmbio,2026,5.3
2022-11-28,IPCA,2026,3.0
2022-11-28,PIB Total,2026,2.0
2022-11-28,Selic,2026,8.0
2022-12-05,Câmbio,2026,5.3
2022-12-05,IPCA,2026,3.0
2022-12-05,PIB Total,2026,2.0
2022-12-05,Selic,2026,8.0
2022-12-08,Selic,2027,8.25
2022-12-12,Câmbio,2026,5.3
2022-12-12,IPCA,2026,3.0
2022-12-12,PIB Total,2026,2.0
2022-12-12,Selic,2026,8.0
2022-12-12,Selic,2027,8.0
2022-12-19,Câmbio,2026,5.3
2022-12-19,IPCA,2026,3.0
2022-12-19,PIB Total,2026,2.0
2022-12-19,Selic,2026,8.0
2022-12-19,Selic,2027,8.0
2022-12-26,Câmbio,2026,5.325
2022-12-26,IPCA,2026,3.0256
2022-12-26,PIB Total,2026,2.0
2022-12-26,Selic,2026,8.0
2022-12-26,Selic,2027,8.0
2022-12-30,Câmbio,2027,5.0
2023-01-02,Câmbio,2026,5.325
2023-01-02,Câmbio,2027,5.0
2023-01-02,IPCA,2026,3.175
2023-01-02,PIB Total,2026,2.0
2023-01-02,Selic,2026,8.0
2023-01-02,Selic,2027,8.0
2023-01-09,Câmbio,2026,5.325
2023-01-09,Câmbio,2027,5.0
2023-01-09,IPCA,2026,3.22
2023-01-09,PIB Total,2026,2.0
2023-01-09,Selic,2026,8.0
2023-01-09,Selic,2027,8.0
2023-01-10,IPCA,2027,3.25
2023-01-16,Câmbio,2026,5.325
2023-01-16,Câmbio,2027,5.2251
2023-01-16,IPCA,2026,3.25
2023-01-16,IPCA,2027,3.0
2023-01-16,PIB Total,2026,2.0
2023-01-16,Selic,2026,8.0
2023-01-16,Selic,2027,8.0
2023-01-23,Câmbio,2026,5.3
2023-01-23,Câmbio,2027,5.3
2023-01-23,IPCA,2026,3.5
2023-01-23,IPCA,2027,3.25
2023-01-23,PIB Total,2026,2.0
2023-01-23,Selic,2026,8.25
2023-01-23,Selic,2027,8.0001
2023-01-30,Câmbio,2026,5.3
2023-01-30,Câmbio,2027,5.325
2023-01-30,IPCA,2026,3.5
2023-01-30,IPCA,2027,3.5
2023-01-30,PIB Total,2026,2.0
2023-01-30,Selic,2026,8.5
2023-01-30,Selic,2027,8.375
2023-02-06,Câmbio,2026,5.325
2023-02-06,Câmbio,2027,5.35
2023-02-06,IPCA,2026,3.5
2023-02-06,IPCA,2027,3.5
2023-02-06,PIB Total,2026,2.0
2023-02-06,Selic,2026,8.5
2023-02-06,Selic,2027,8.5
2023-02-13,Câmbio,2026,5.3
2023-02-13,Câmbio,2027,5.35
2023-02-13,IPCA,2026,3.5
2023-02-13,IPCA,2027,3.7
2023-02-13,PIB Total,2026,2.0
2023-02-13,Selic,2026,8.5
2023-02-13,Selic,2027,8.5
2023-02-22,Câmbio,2026,5.35
2023-02-22,Câmbio,2027,5.325
2023-02-22,IPCA,2026,3.765
2023-02-22,IPCA,2027,4.0
2023-02-22,PIB Total,2026,2.0
2023-02-22,Selic,2026,8.75
2023-02-22,Selic,2027,8.5
2023-02-27,Câmbio,2026,5.35
2023-02-27,Câmbio,2027,5.325
2023-02-27,IPCA,2026,3.75
2023-02-27,IPCA,2027,4.0
2023-02-27,PIB Total,2026,2.0
2023-02-27,Selic,2026,8.5
2023-02-27,Selic,2027,8.5
2023-03-02,PIB Total,2027,2.5
2023-03-06,Câmbio,2026,5.35
2023-03-06,Câmbio,2027,5.35
2023-03-06,IPCA,2026,3.75
2023-03-06,IPCA,2027,4.0
2023-03-06,PIB Total,2026,2.0
2023-03-06,PIB Total,2027,2.0
2023-03-06,Selic,2026,8.75
2023-03-06,Selic,2027,8.75
2023-03-13,Câmbio,2026,5.35
2023-03-13,Câmbio,2027,5.35
2023-03-13,IPCA,2026,3.815
2023-03-13,IPCA,2027,4.0
2023-03-13,PIB Total,2026,1.977
2023-03-13,PIB Total,2027,2.0
2023-03-13,Selic,2026,9.0
2023-03-13,Selic,2027,8.875
2023-03-20,Câmbio,2026,5.375
2023-03-20,Câmbio,2027,5.4
2023-03-20,IPCA,2026,4.0
2023-03-20,IPCA,2027,4.0
2023-03-20,PIB Total,2026,1.775
2023-03-20,PIB Total,2027,1.85
2023-03-20,Selic,2026,9.0
2023-03-20,Selic,2027,8.875
2023-03-27,Câmbio,2026,5.4
2023-03-27,Câmbio,2027,5.4
2023-03-27,IPCA,2026,4.0
2023-03-27,IPCA,2027,4.0
2023-03-27,PIB Total,2026,1.8
2023-03-27,PIB Total,2027,1.9
2023-03-27,Selic,2026,8.875
2023-03-27,Selic,2027,9.0
2023-04-03,Câmbio,2026,5.375
2023-04-03,Câmbio,2027,5.4
2023-04-03,IPCA,2026,4.0
2023-04-03,IPCA,2027,4.0
2023-04-03,PIB Total,2026,1.8
2023-04-03,PIB Total,2027,1.8
2023-04-03,Selic,2026,8.75
2023-04-03,Selic,2027,9.0
2023-04-10,Câmbio,2026,5.35
2023-04-10,Câmbio,2027,5.4
2023-04-10,IPCA,2026,4.0
2023-04-10,IPCA,2027,4.0
2023-04-10,PIB Total,2026,1.8
2023-04-10,PIB Total,2027,1.8
2023-04-10,Selic,2026,8.75
2023-04-10,Selic,2027,8.875
2023-04-17,Câmbio,2026,5.35
2023-04-17,Câmbio,2027,5.4
2023-04-17,IPCA,2026,4.0
2023-04-17,IPCA,2027,4.0
2023-04-17,PIB Total,2026,1.8
2023-04-17,PIB Total,2027,1.825
2023-04-17,Selic,2026,8.75
2023-04-17,Selic,2027,9.0
2023-04-24,Câmbio,2026,5.3
2023-04-24,Câmbio,2027,5.35
2023-04-24,IPCA,2026,4.0
2023-04-24,IPCA,2027,4.0
2023-04-24,PIB Total,2026,1.8
2023-04-24,PIB Total,2027,1.825
2023-04-24,Selic,2026,8.75
2023-04-24,Selic,2027,8.875
2023-05-02,Câmbio,2026,5.3075
2023-05-02,Câmbio,2027,5.379
2023-05-02,IPCA,2026,4.0
2023-05-02,IPCA,2027,4.0
2023-05-02,PIB Total,2026,1.8
2023-05-02,PIB Total,2027,1.825
2023-05-02,Selic,2026,9.0
2023-05-02,Selic,2027,9.0
2023-05-08,Câmbio,2026,5.3
2023-05-08,Câmbio,2027,5.35
2023-05-08,IPCA,2026,4.0
2023-05-08,IPCA,2027,4.0
2023-05-08,PIB Total,2026,1.85
2023-05-08,PIB Total,2027,1.929
2023-05-08,Selic,2026,8.875
2023-05-08,Selic,2027,9.0
2023-05-15,Câmbio,2026,5.27
2023-05-15,Câmbio,2027,5.3
2023-05-15,IPCA,2026,4.0
2023-05-15,IPCA,2027,4.0
2023-05-15,PIB Total,2026,1.8
2023-05-15,PIB Total,2027,1.8
2023-05-15,Selic,2026,8.75
2023-05-15,Selic,2027,8.75
2023-05-22,Câmbio,2026,5.27
2023-05-22,Câmbio,2027,5.3
2023-05-22,IPCA,2026,4.0
2023-05-22,IPCA,2027,4.0
2023-05-22,PIB Total,2026,1.85
2023-05-22,PIB Total,2027,1.8
2023-05-22,Selic,2026,8.75
2023-05-22,Selic,2027,9.0
2023-05-29,Câmbio,2026,5.26
2023-05-29,Câmbio,2027,5.259
2023-05-29,IPCA,2026,4.0
2023-05-29,IPCA,2027,4.0
2023-05-29,PIB Total,2026,1.8
2023-05-29,PIB Total,2027,1.8
2023-05-29,Selic,2026,9.0
2023-05-29,Selic,2027,9.0
2023-06-05,Câmbio,2026,5.27
2023-06-05,Câmbio,2027,5.25
2023-06-05,IPCA,2026,4.0
2023-06-05,IPCA,2027,4.0
2023-06-05,PIB Total,2026,1.9
2023-06-05,PIB Total,2027,1.8
2023-06-05,Selic,2026,9.0
2023-06-05,Selic,2027,9.0
2023-06-12,Câmbio,2026,5.26
2023-06-12,Câmbio,2027,5.25
2023-06-12,IPCA,2026,3.89
2023-06-12,IPCA,2027,3.845
2023-06-12,PIB Total,2026,2.0
2023-06-12,PIB Total,2027,2.0
2023-06-12,Selic,2026,8.875
2023-06-12,Selic,2027,9.0
2023-06-19,Câmbio,2026,5.2
2023-06-19,Câmbio,2027,5.25
2023-06-19,IPCA,2026,3.78
2023-06-19,IPCA,2027,3.7
2023-06-19,PIB Total,2026,1.9235
2023-06-19,PIB Total,2027,1.9695
2023-06-19,Selic,2026,8.75
2023-06-19,Selic,2027,9.0
2023-06-26,Câmbio,2026,5.225
2023-06-26,Câmbio,2027,5.25
2023-06-26,IPCA,2026,3.7
2023-06-26,IPCA,2027,3.6
2023-06-26,PIB Total,2026,1.9
2023-06-26,PIB Total,2027,1.979
2023-06-26,Selic,2026,8.75
2023-06-26,Selic,2027,9.0
2023-07-03,Câmbio,2026,5.2
2023-07-03,Câmbio,2027,5.25
2023-07-03,IPCA,2026,3.5
2023-07-03,IPCA,2027,3.5
2023-07-03,PIB Total,2026,1.9
2023-07-03,PIB Total,2027,1.979
2023-07-03,Selic,2026,8.75
2023-07-03,Selic,2027,9.0
2023-07-10,Câmbio,2026,5.2
2023-07-10,Câmbio,2027,5.2251
2023-07-10,IPCA,2026,3.5
2023-07-10,IPCA,2027,3.5
2023-07-10,PIB Total,2026,1.86
2023-07-10,PIB Total,2027,1.96
2023-07-10,Selic,2026,8.75
2023-07-10,Selic,2027,9.0
2023-07-17,Câmbio,2026,5.2
2023-07-17,Câmbio,2027,5.2
2023-07-17,IPCA,2026,3.5
2023-07-17,IPCA,2027,3.5
2023-07-17,PIB Total,2026,2.0
2023-07-17,PIB Total,2027,2.0
2023-07-17,Selic,2026,8.75
2023-07-17,Selic,2027,9.0
2023-07-24,Câmbio,2026,5.2
2023-07-24,Câmbio,2027,5.2
2023-07-24,IPCA,2026,3.5
2023-07-24,IPCA,2027,3.5
2023-07-24,PIB Total,2026,2.0
2023-07-24,PIB Total,2027,2.0
2023-07-24,Selic,2026,8.625
2023-07-24,Selic,2027,9.0
2023-07-31,Câmbio,2026,5.1
2023-07-31,Câmbio,2027,5.15
2023-07-31,IPCA,2026,3.5
2023-07-31,IPCA,2027,3.5
2023-07-31,PIB Total,2026,2.0
2023-07-31,PIB Total,2027,2.0
2023-07-31,Selic,2026,8.5
2023-07-31,Selic,2027,8.75
2023-08-07,Câmbio,2026,5.1
2023-08-07,Câmbio,2027,5.175
2023-08-07,IPCA,2026,3.5
2023-08-07,IPCA,2027,3.5
2023-08-07,PIB Total,2026,2.0
2023-08-07,PIB Total,2027,2.0
2023-08-07,Selic,2026,8.5
2023-08-07,Selic,2027,8.5
2023-08-14,Câmbio,2026,5.125
2023-08-14,Câmbio,2027,5.2
2023-08-14,IPCA,2026,3.5
2023-08-14,IPCA,2027,3.5
2023-08-14,PIB Total,2026,2.0
2023-08-14,PIB Total,2027,2.0
2023-08-14,Selic,2026,8.5
2023-08-14,Selic,2027,8.5
2023-08-21,Câmbio,2026,5.165
2023-08-21,Câmbio,2027,5.2
2023-08-21,IPCA,2026,3.5
2023-08-21,IPCA,2027,3.5
2023-08-21,PIB Total,2026,2.0
2023-08-21,PIB Total,2027,2.0
2023-08-21,Selic,2026,8.5
2023-08-21,Selic,2027,8.5
2023-08-28,Câmbio,2026,5.15
2023-08-28,Câmbio,2027,5.2
2023-08-28,IPCA,2026,3.5
2023-08-28,IPCA,2027,3.5
2023-08-28,PIB Total,2026,2.0
2023-08-28,PIB Total,2027,2.0
2023-08-28,Selic,2026,8.5
2023-08-28,Selic,2027,8.5
2023-09-04,Câmbio,2026,5.185
2023-09-04,Câmbio,2027,5.2
2023-09-04,IPCA,2026,3.5
2023-09-04,IPCA,2027,3.5
2023-09-04,PIB Total,2026,2.0
2023-09-04,PIB Total,2027,2.0
2023-09-04,Selic,2026,8.5
2023-09-04,Selic,2027,8.5
2023-09-11,Câmbio,2026,5.165
2023-09-11,Câmbio,2027,5.2
2023-09-11,IPCA,2026,3.5
2023-09-11,IPCA,2027,3.5
2023-09-11,PIB Total,2026,2.0
2023-09-11,PIB Total,2027,2.0
2023-09-11,Selic,2026,8.5
2023-09-11,Selic,2027,8.5
2023-09-18,Câmbio,2026,5.18
2023-09-18,Câmbio,2027,5.2
2023-09-18,IPCA,2026,3.5
2023-09-18,IPCA,2027,3.5
2023-09-18,PIB Total,2026,2.0
2023-09-18,PIB Total,2027,2.0
2023-09-18,Selic,2026,8.5
2023-09-18,Selic,2027,8.5
2023-09-25,Câmbio,2026,5.195
2023-09-25,Câmbio,2027,5.2
2023-09-25,IPCA,2026,3.5
2023-09-25,IPCA,2027,3.5
2023-09-25,PIB Total,2026,2.0
2023-09-25,PIB Total,2027,2.0
2023-09-25,Selic,2026,8.5
2023-09-25,Selic,2027,8.5
2023-10-02,Câmbio,2026,5.195
2023-10-02,Câmbio,2027,5.2
2023-10-02,IPCA,2026,3.5
2023-10-02,IPCA,2027,3.5
2023-10-02,PIB Total,2026,2.0
2023-10-02,PIB Total,2027,2.0
2023-10-02,Selic,2026,8.5
2023-10-02,Selic,2027,8.5
2023-10-09,Câmbio,2026,5.2
2023-10-09,Câmbio,2027,5.2
2023-10-09,IPCA,2026,3.5
2023-10-09,IPCA,2027,3.5
2023-10-09,PIB Total,2026,2.0
2023-10-09,PIB Total,2027,2.0
2023-10-09,Selic,2026,8.5
2023-10-09,Selic,2027,8.5
2023-10-16,Câmbio,2026,5.195
2023-10-16,Câmbio,2027,5.2
2023-10-16,IPCA,2026,3.5
2023-10-16,IPCA,2027,3.5
2023-10-16,PIB Total,2026,2.0
2023-10-16,PIB Total,2027,2.0
2023-10-16,Selic,2026,8.5
2023-10-16,Selic,2027,8.5
2023-10-23,Câmbio,2026,5.185
2023-10-23,Câmbio,2027,5.2
2023-10-23,IPCA,2026,3.5
2023-10-23,IPCA,2027,3.5
2023-10-23,PIB Total,2026,2.0
2023-10-23,PIB Total,2027,2.0
2023-10-23,Selic,2026,8.5
2023-10-23,Selic,2027,8.5
2023-10-30,Câmbio,2026,5.2
2023-10-30,Câmbio,2027,5.2
2023-10-30,IPCA,2026,3.5
2023-10-30,IPCA,2027,3.5
2023-10-30,PIB Total,2026,2.0
2023-10-30,PIB Total,2027,2.0
2023-10-30,Selic,2026,8.5
2023-10-30,Selic,2027,8.5
2023-11-06,Câmbio,2026,5.2
2023-11-06,Câmbio,2027,5.2
2023-11-06,IPCA,2026,3.5
2023-11-06,IPCA,2027,3.5
2023-11-06,PIB Total,2026,2.0
2023-11-06,PIB Total,2027,2.0
2023-11-06,Selic,2026,8.5
2023-11-06,Selic,2027,8.5
2023-11-13,Câmbio,2026,5.2
2023-11-13,Câmbio,2027,5.2
2023-11-13,IPCA,2026,3.5
2023-11-13,IPCA,2027,3.5
2023-11-13,PIB Total,2026,2.0
2023-11-13,PIB Total,2027,2.0
2023-11-13,Selic,2026,8.5
2023-11-13,Selic,2027,8.5
2023-11-20,Câmbio,2026,5.17
2023-11-20,Câmbio,2027,5.2
2023-11-20,IPCA,2026,3.5
2023-11-20,IPCA,2027,3.5
2023-11-20,PIB Total,2026,2.0
2023-11-20,PIB Total,2027,2.0
2023-11-20,Selic,2026,8.5
2023-11-20,Selic,2027,8.5
2023-11-27,Câmbio,2026,5.165
2023-11-27,Câmbio,2027,5.2
2023-11-27,IPCA,2026,3.5
2023-11-27,IPCA,2027,3.5
2023-11-27,PIB Total,2026,2.0
2023-11-27,PIB Total,2027,2.0
2023-11-27,Selic,2026,8.5
2023-11-27,Selic,2027,8.5
2023-12-04,Câmbio,2026,5.17
2023-12-04,Câmbio,2027,5.2
2023-12-04,IPCA,2026,3.5
2023-12-04,IPCA,2027,3.5
2023-12-04,PIB Total,2026,2.0
2023-12-04,PIB Total,2027,2.0
2023-12-04,Selic,2026,8.5
2023-12-04,Selic,2027,8.5
2023-12-11,Câmbio,2026,5.15
2023-12-11,Câmbio,2027,5.185
2023-12-11,IPCA,2026,3.5
2023-12-11,IPCA,2027,3.5
2023-12-11,PIB Total,2026,2.0
2023-12-11,PIB Total,2027,2.0
2023-12-11,Selic,2026,8.5
2023-12-11,Selic,2027,8.5
2023-12-18,Câmbio,2026,5.1
2023-12-18,Câmbio,2027,5.15
2023-12-18,IPCA,2026,3.5
2023-12-18,IPCA,2027,3.5
2023-12-18,PIB Total,2026,2.0
2023-12-18,PIB Total,2027,2.0
2023-12-18,Selic,2026,8.5
2023-12-18,Selic,2027,8.5
2023-12-26,Câmbio,2026,5.1
2023-12-26,Câmbio,2027,5.13
2023-12-26,IPCA,2026,3.5
2023-12-26,IPCA,2027,3.5
2023-12-26,PIB Total,2026,2.0
2023-12-26,PIB Total,2027,2.0
2023-12-26,Selic,2026,8.5
2023-12-26,Selic,2027,8.5
2024-01-02,Câmbio,2026,5.1
2024-01-02,Câmbio,2027,5.11
2024-01-02,IPCA,2026,3.5
2024-01-02,IPCA,2027,3.5
2024-01-02,PIB Total,2026,2.0
2024-01-02,PIB Total,2027,2.0
2024-01-02,Selic,2026,8.5
2024-01-02,Selic,2027,8.5
2024-01-08,Câmbio,2026,5.1
2024-01-08,Câmbio,2027,5.1
2024-01-08,IPCA,2026,3.5
2024-01-08,IPCA,2027,3.5
2024-01-08,PIB Total,2026,2.0
2024-01-08,PIB Total,2027,2.0
2024-01-08,Selic,2026,8.5
2024-01-08,Selic,2027,8.5
2024-01-15,Câmbio,2026,5.05
2024-01-15,Câmbio,2027,5.1
2024-01-15,IPCA,2026,3.5
2024-01-15,IPCA,2027,3.5
2024-01-15,PIB Total,2026,2.0
2024-01-15,PIB Total,2027,2.0
2024-01-15,Selic,2026,8.5
2024-01-15,Selic,2027,8.5
2024-01-22,Câmbio,2026,5.05
2024-01-22,Câmbio,2027,5.1
2024-01-22,IPCA,2026,3.5
2024-01-22,IPCA,2027,3.5
2024-01-22,PIB Total,2026,2.0
2024-01-22,PIB Total,2027,2.0
2024-01-22,Selic,2026,8.5
2024-01-22,Selic,2027,8.5
2024-01-29,Câmbio,2026,5.05
2024-01-29,Câmbio,2027,5.1
2024-01-29,IPCA,2026,3.5
2024-01-29,IPCA,2027,3.5
2024-01-29,PIB Total,2026,2.0
2024-01-29,PIB Total,2027,2.0
2024-01-29,Selic,2026,8.5
2024-01-29,Selic,2027,8.5
2024-02-05,Câmbio,2026,5.03
2024-02-05,Câmbio,2027,5.1
2024-02-05,IPCA,2026,3.5
2024-02-05,IPCA,2027,3.5
2024-02-05,PIB Total,2026,2.0
2024-02-05,PIB Total,2027,2.0
2024-02-05,Selic,2026,8.5
2024-02-05,Selic,2027,8.5
2024-02-14,Câmbio,2026,5.03
2024-02-14,Câmbio,2027,5.1
2024-02-14,IPCA,2026,3.5
2024-02-14,IPCA,2027,3.5
2024-02-14,PIB Total,2026,2.0
2024-02-14,PIB Total,2027,2.0
2024-02-14,Selic,2026,8.5
2024-02-14,Selic,2027,8.5
2024-02-19,Câmbio,2026,5.04
2024-02-19,Câmbio,2027,5.1
2024-02-19,IPCA,2026,3.5
2024-02-19,IPCA,2027,3.5
2024-02-19,PIB Total,2026,2.0
2024-02-19,PIB Total,2027,2.0
2024-02-19,Selic,2026,8.5
2024-02-19,Selic,2027,8.5
2024-02-26,Câmbio,2026,5.04
2024-02-26,Câmbio,2027,5.1
2024-02-26,IPCA,2026,3.5
2024-02-26,IPCA,2027,3.5
2024-02-26,PIB Total,2026,2.0
2024-02-26,PIB Total,2027,2.0
2024-02-26,Selic,2026,8.5
2024-02-26,Selic,2027,8.5
2024-03-04,Câmbio,2026,5.04
2024-03-04,Câmbio,2027,5.1
2024-03-04,IPCA,2026,3.5
2024-03-04,IPCA,2027,3.5
2024-03-04,PIB Total,2026,2.0
2024-03-04,PIB Total,2027,2.0
2024-03-04,Selic,2026,8.5
2024-03-04,Selic,2027,8.5
2024-03-11,Câmbio,2026,5.035
2024-03-11,Câmbio,2027,5.1
2024-03-11,IPCA,2026,3.5
2024-03-11,IPCA,2027,3.5
2024-03-11,PIB Total,2026,2.0
2024-03-11,PIB Total,2027,2.0
2024-03-11,Selic,2026,8.5
2024-03-11,Selic,2027,8.5
2024-03-18,Câmbio,2026,5.04
2024-03-18,Câmbio,2027,5.1
2024-03-18,IPCA,2026,3.5
2024-03-18,IPCA,2027,3.5
2024-03-18,PIB Total,2026,2.0
2024-03-18,PIB Total,2027,2.0
2024-03-18,Selic,2026,8.5
2024-03-18,Selic,2027,8.5
2024-03-25,Câmbio,2026,5.03
2024-03-25,Câmbio,2027,5.06
2024-03-25,IPCA,2026,3.5
2024-03-25,IPCA,2027,3.5
2024-03-25,PIB Total,2026,2.0
2024-03-25,PIB Total,2027,2.0
2024-03-25,Selic,2026,8.5
2024-03-25,Selic,2027,8.5
2024-04-01,Câmbio,2026,5.035
2024-04-01,Câmbio,2027,5.065
2024-04-01,IPCA,2026,3.5
2024-04-01,IPCA,2027,3.5
2024-04-01,PIB Total,2026,2.0
